Gen 161 | Best Fitness = 38.054
Gen 162 | Best Fitness = 38.365
Gen 163 | Best Fitness = 38.587
Gen 164 | Best Fitness = 39.060
Gen 165 | Best Fitness = 39.195
Gen 166 | Best Fitness = 39.195
Gen 167 | Best Fitness = 39.553
Gen 168 | Best Fitness = 39.553
Gen 169 | Best Fitness = 39.800
Gen 170 | Best Fitness = 39.814
Gen 171 | Best Fitness = 40.062
Gen 172 | Best Fitness = 40.063
Gen 173 | Best Fitness = 40.611
Gen 174 | Best Fitness = 41.006
Gen 175 | Best Fitness = 41.006
Gen 176 | Best Fitness = 41.006
Gen 177 | Best Fitness = 41.006
Gen 178 | Best Fitness = 41.009
Gen 179 | Best Fitness = 41.054
Gen 180 | Best Fitness = 41.054
Gen 181 | Best Fitness = 41.210
Gen 182 | Best Fitness = 41.838
Gen 183 | Best Fitness = 41.838
Gen 184 | Best Fitness = 41.838
Gen 185 | Best Fitness = 41.908
Gen 186 | Best Fitness = 41.908
Gen 187 | Best Fitness = 41.908
Gen 188 | Best Fitness = 42.027
Gen 189 | Best Fitness = 42.027
Gen 190 | Best Fitness = 42.027
Gen 191 | Best Fitness = 42.052
Gen 192 | Best Fitness = 42.121
Gen 193 | Best Fitness = 42.121
Gen 194 | Best Fitness = 42.121
Gen 195 | Best Fitness = 42.393
Gen 196 | Best Fitness = 42.393
Gen 197 | Best Fitness = 42.585
Gen 198 | Best Fitness = 42.785
Gen 199 | Best Fitness = 43.348
Gen 200 | Best Fitness = 43.348

======== GA RUN 26 of 50 ========
Gen 1 | Best Fitness = 2.925
Gen 2 | Best Fitness = 9.425
Gen 3 | Best Fitness = 9.425
Gen 4 | Best Fitness = 10.700
Gen 5 | Best Fitness = 21.094
Gen 6 | Best Fitness = 21.094
Gen 7 | Best Fitness = 23.361
Gen 8 | Best Fitness = 23.361
Gen 9 | Best Fitness = 23.361
Gen 10 | Best Fitness = 23.361
Gen 11 | Best Fitness = 26.571
Gen 12 | Best Fitness = 26.786
Gen 13 | Best Fitness = 26.786
Gen 14 | Best Fitness = 26.786
Gen 15 | Best Fitness = 26.786
Gen 16 | Best Fitness = 26.786
Gen 17 | Best Fitness = 27.948
Gen 18 | Best Fitness = 27.948
Gen 19 | Best Fitness = 28.358
Gen 20 | Best Fitness = 28.358
Gen 21 | Best Fitness = 28.364
Gen 22 | Best Fitness = 28.364
Gen 23 | Best Fitness = 28.750
Gen 24 | Best Fitness = 28.750
Gen 25 | Best Fitness = 28.858
Gen 26 | Best Fitness = 29.029
Gen 27 | Best Fitness = 29.029
Gen 28 | Best Fitness = 29.054
Gen 29 | Best Fitness = 29.165
Gen 30 | Best Fitness = 29.165
Gen 31 | Best Fitness = 29.165
Gen 32 | Best Fitness = 29.165
Gen 33 | Best Fitness = 29.194
Gen 34 | Best Fitness = 29.259
Gen 35 | Best Fitness = 29.399
Gen 36 | Best Fitness = 29.399
Gen 37 | Best Fitness = 29.399
Gen 38 | Best Fitness = 29.399
Gen 39 | Best Fitness = 29.422
Gen 40 | Best Fitness = 29.422
Gen 41 | Best Fitness = 29.436
Gen 42 | Best Fitness = 29.454
Gen 43 | Best Fitness = 29.476
Gen 44 | Best Fitness = 29.476
Gen 45 | Best Fitness = 29.496
Gen 46 | Best Fitness = 29.539
Gen 47 | Best Fitness = 29.539
Gen 48 | Best Fitness = 29.539
Gen 49 | Best Fitness = 29.580
Gen 50 | Best Fitness = 29.590
Gen 51 | Best Fitness = 29.606
Gen 52 | Best Fitness = 29.606
Gen 53 | Best Fitness = 29.692
Gen 54 | Best Fitness = 29.741
Gen 55 | Best Fitness = 29.741
Gen 56 | Best Fitness = 29.741
Gen 57 | Best Fitness = 29.759
Gen 58 | Best Fitness = 29.783
Gen 59 | Best Fitness = 29.791
Gen 60 | Best Fitness = 29.813
Gen 61 | Best Fitness = 29.813
Gen 62 | Best Fitness = 29.899
Gen 63 | Best Fitness = 29.931
Gen 64 | Best Fitness = 30.053
Gen 65 | Best Fitness = 30.053
Gen 66 | Best Fitness = 30.053
Gen 67 | Best Fitness = 30.053
Gen 68 | Best Fitness = 30.053
Gen 69 | Best Fitness = 30.143
Gen 70 | Best Fitness = 30.143
Gen 71 | Best Fitness = 30.143
Gen 72 | Best Fitness = 30.143
Gen 73 | Best Fitness = 30.198
Gen 74 | Best Fitness = 30.198
Gen 75 | Best Fitness = 30.205
Gen 76 | Best Fitness = 30.256
Gen 77 | Best Fitness = 30.256
Gen 78 | Best Fitness = 30.296
Gen 79 | Best Fitness = 30.296
Gen 80 | Best Fitness = 30.296
Gen 81 | Best Fitness = 30.302
Gen 82 | Best Fitness = 30.311
Gen 83 | Best Fitness = 30.313
Gen 84 | Best Fitness = 30.331
Gen 85 | Best Fitness = 30.331
Gen 86 | Best Fitness = 30.347
Gen 87 | Best Fitness = 30.347
Gen 88 | Best Fitness = 30.347
Gen 89 | Best Fitness = 30.347
Gen 90 | Best Fitness = 30.458
Gen 91 | Best Fitness = 30.458
Gen 92 | Best Fitness = 30.515
Gen 93 | Best Fitness = 30.515
Gen 94 | Best Fitness = 30.546
Gen 95 | Best Fitness = 30.546
Gen 96 | Best Fitness = 30.546
Gen 97 | Best Fitness = 30.559
Gen 98 | Best Fitness = 30.564
Gen 99 | Best Fitness = 30.579
Gen 100 | Best Fitness = 30.603
Gen 101 | Best Fitness = 30.603
Gen 102 | Best Fitness = 30.607
Gen 103 | Best Fitness = 30.613
Gen 104 | Best Fitness = 30.613
Gen 105 | Best Fitness = 30.613
Gen 106 | Best Fitness = 30.633
Gen 107 | Best Fitness = 30.720
Gen 108 | Best Fitness = 30.720
Gen 109 | Best Fitness = 30.720
Gen 110 | Best Fitness = 30.765
Gen 111 | Best Fitness = 30.771
Gen 112 | Best Fitness = 30.771
Gen 113 | Best Fitness = 30.953
Gen 114 | Best Fitness = 30.953
Gen 115 | Best Fitness = 30.953
Gen 116 | Best Fitness = 30.986
Gen 117 | Best Fitness = 30.986
Gen 118 | Best Fitness = 30.986
Gen 119 | Best Fitness = 30.995
Gen 120 | Best Fitness = 31.043
Gen 121 | Best Fitness = 31.043
Gen 122 | Best Fitness = 31.068
Gen 123 | Best Fitness = 31.068
Gen 124 | Best Fitness = 31.068
Gen 125 | Best Fitness = 31.068
Gen 126 | Best Fitness = 31.249
Gen 127 | Best Fitness = 31.249
Gen 128 | Best Fitness = 31.249
Gen 129 | Best Fitness = 31.249
Gen 130 | Best Fitness = 31.249
Gen 131 | Best Fitness = 31.279
Gen 132 | Best Fitness = 31.288
Gen 133 | Best Fitness = 31.291
Gen 134 | Best Fitness = 31.303
Gen 135 | Best Fitness = 31.303
Gen 136 | Best Fitness = 31.306
Gen 137 | Best Fitness = 31.334
Gen 138 | Best Fitness = 31.336
Gen 139 | Best Fitness = 31.339
Gen 140 | Best Fitness = 31.340
Gen 141 | Best Fitness = 31.344
Gen 142 | Best Fitness = 31.355
Gen 143 | Best Fitness = 31.358
Gen 144 | Best Fitness = 31.361
Gen 145 | Best Fitness = 31.362
Gen 146 | Best Fitness = 31.435
Gen 147 | Best Fitness = 31.435
Gen 148 | Best Fitness = 31.479
Gen 149 | Best Fitness = 31.479
Gen 150 | Best Fitness = 31.493
Gen 151 | Best Fitness = 31.493
Gen 152 | Best Fitness = 31.493
Gen 153 | Best Fitness = 31.506
Gen 154 | Best Fitness = 31.531
Gen 155 | Best Fitness = 31.551
Gen 156 | Best Fitness = 31.551
Gen 157 | Best Fitness = 31.551
Gen 158 | Best Fitness = 31.554
Gen 159 | Best Fitness = 31.555
Gen 160 | Best Fitness = 31.570
Gen 161 | Best Fitness = 31.570
Gen 162 | Best Fitness = 31.570
Gen 163 | Best Fitness = 31.574
Gen 164 | Best Fitness = 31.576
Gen 165 | Best Fitness = 31.599
Gen 166 | Best Fitness = 31.599
Gen 167 | Best Fitness = 31.629
Gen 168 | Best Fitness = 31.629
Gen 169 | Best Fitness = 31.629
Gen 170 | Best Fitness = 31.639
Gen 171 | Best Fitness = 31.639
Gen 172 | Best Fitness = 31.642
Gen 173 | Best Fitness = 31.642
Gen 174 | Best Fitness = 31.647
Gen 175 | Best Fitness = 31.647
